,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float 8,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Nov 29, 2021) 4","Short Ratio (Nov 29, 2021) 4","Short % of Float (Nov 29, 2021) 4","Short % of Shares Outstanding (Nov 29, 2021) 4","Shares Short (prior month Oct 28, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),"Shares Short (Nov 14, 2021) 4","Short Ratio (Nov 14, 2021) 4","Short % of Float (Nov 14, 2021) 4","Short % of Shares Outstanding (Nov 14, 2021) 4","Shares Short (prior month Oct 14, 2021) 4",Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4","Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4","Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4","Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4","Shares Short (Sep 14, 2021) 4","Short Ratio (Sep 14, 2021) 4","Short % of Float (Sep 14, 2021) 4","Short % of Shares Outstanding (Sep 14, 2021) 4","Shares Short (prior month Aug 12, 2021) 4","Shares Short (Oct 14, 2021) 4","Short Ratio (Oct 14, 2021) 4","Short % of Float (Oct 14, 2021) 4","Short % of Shares Outstanding (Oct 14, 2021) 4","Shares Short (prior month Sep 14, 2021) 4","Shares Short (Apr 14, 2021) 4","Short Ratio (Apr 14, 2021) 4","Short % of Float (Apr 14, 2021) 4","Short % of Shares Outstanding (Apr 14, 2021) 4","Shares Short (prior month Mar 14, 2021) 4","Shares Short (Aug 30, 2021) 4","Short Ratio (Aug 30, 2021) 4","Short % of Float (Aug 30, 2021) 4","Short % of Shares Outstanding (Aug 30, 2021) 4","Shares Short (prior month Jul 29, 2021) 4","Shares Short (Oct 28, 2021) 4","Short Ratio (Oct 28, 2021) 4","Short % of Float (Oct 28, 2021) 4","Short % of Shares Outstanding (Oct 28, 2021) 4","Shares Short (prior month Sep 29, 2021) 4","Shares Short (Sep 29, 2021) 4","Short Ratio (Sep 29, 2021) 4","Short % of Float (Sep 29, 2021) 4","Short % of Shares Outstanding (Sep 29, 2021) 4","Shares Short (prior month Aug 30, 2021) 4","Shares Short (Jul 14, 2021) 4","Short Ratio (Jul 14, 2021) 4","Short % of Float (Jul 14, 2021) 4","Short % of Shares Outstanding (Jul 14, 2021) 4","Shares Short (prior month Jun 14, 2021) 4","Shares Short (Jun 29, 2021) 4","Short Ratio (Jun 29, 2021) 4","Short % of Float (Jun 29, 2021) 4","Short % of Shares Outstanding (Jun 29, 2021) 4","Shares Short (prior month May 27, 2021) 4","Shares Short (Apr 29, 2021) 4","Short Ratio (Apr 29, 2021) 4","Short % of Float (Apr 29, 2021) 4","Short % of Shares Outstanding (Apr 29, 2021) 4","Shares Short (prior month Mar 30, 2021) 4"
AVYA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.52,N/A,N/A,34.06,17.11,19.70,23.99,1.17M,1.33M,83.9M,N/A,73.58M,3.98%,109.80%,8.43M,5.83,11.72%,10.02%,8.87M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Sep 29, 2021","Sep 29, 2021",-0.44%,8.51%,2.59%,-2.93%,2.97B,35.18,0.70%,1.82B,479M,-17M,-7.37,-83.80%,498M,5.92,3.05B,584.67,1.45,3.10,30M,139.38M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.37,12.90,15.82,18.65,1.01M,1.93M,108M,N/A,86.83M,2.80%,68.53%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Jul 30, 2021",-47.23%,-43.95%,-14.41%,-38.08%,219.08M,2.37,19.10%,146.15M,-95.2M,-103.48M,N/A,N/A,289.24M,2.62,9.27M,2.07,2.46,N/A,-26.53M,34.87M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66M,4.44,5.04%,4.22%,5.72M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.94,4.95,7.00,10.46,6.26M,6.13M,255.78M,N/A,143.33M,21.43%,49.60%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-220.30%,-256.11%,-11.34%,-16.91%,41.19M,0.20,766.90%,-15.05M,-91.94M,-90.73M,-0.40,N/A,514.52M,1.98,6.25M,0.65,13.49,3.72,-112.18M,-55.84M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.43M,5.42,13.79%,9.76%,21.29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO,,,,,,,,,,1.65,N/A,N/A,51.18,23.08,33.92,40.75,336.54k,328.56k,44.25M,N/A,39.63M,10.39%,104.75%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-30.82%,-26.39%,-8.23%,-92.66%,247.49M,5.68,-7.40%,147.79M,-58.64M,-76.28M,-1.75,N/A,323.93M,7.32,335.6M,958.05,2.46,0.79,-29.64M,-37.27M,,,,,,,,,,,4.15M,12.97,12.51%,9.37%,4.22M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZETA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.14,5.27,8.54,7.45,554.35k,269.04k,153.51M,N/A,58.07M,28.23%,34.11%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-45.03%,-41.13%,N/A,N/A,437.94M,6.78,20.80%,219.24M,-158.5M,-212.69M,N/A,N/A,116.18M,0.59,184.31M,330.39,1.93,N/A,42.26M,N/A,3.3M,6.65,3.32%,1.67%,3.24M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.10,N/A,N/A,26.52,13.05,18.62,19.53,890.71k,1.06M,74.89M,N/A,73.33M,1.33%,95.57%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-192.51%,-102.46%,-7.00%,-68.42%,84.74M,0.93,-43.30%,43.68M,-72.74M,-163.13M,-1.79,N/A,593.34M,6.33,366.09M,199.73,2.03,1.96,-69.46M,-36.12M,,,,,,,,,,,11.48M,7.66,15.43%,12.25%,11.88M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSYS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.18,N/A,N/A,56.95,17.82,29.06,24.30,1.2M,1.03M,63.55M,N/A,64.43M,2.05%,73.51%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Aug 29, 2007","Dec 30, 2020","Jun 29, 2021",-78.53%,-9.82%,-2.67%,-41.68%,551.48M,9.44,25.00%,230.6M,-2M,-433.1M,-8.08,N/A,522.73M,7.99,17.8M,1.85,4.95,13.41,54.67M,64.45M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86M,4.97,9.50%,5.90%,4.56M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTMI,,,,,,,,,,1.64,N/A,N/A,15.36,11.73,13.92,14.20,1.02M,1.15M,107.19M,N/A,97.89M,6.20%,106.51%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 27, 2020","Sep 26, 2021",3.91%,5.90%,2.59%,5.93%,2.17B,20.33,8.40%,359.02M,257.78M,84.99M,1.65,N/A,529.82M,5.08,966.66M,65.91,2.51,13.47,169.75M,323.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09M,4.9,6.59%,4.88%,4.86M,,,,,,,,,,,,,,,,,,,,
SNPO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.50,13.14,18.96,18.66,165.74k,209.88k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGH,,,,,,,,,,1.01,N/A,N/A,63.60,32.37,55.99,49.66,486.15k,479k,23.85M,N/A,21.92M,4.59%,112.97%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Aug 26, 2021","Aug 26, 2021",1.42%,6.80%,5.98%,7.49%,1.5B,61.83,57.50%,315.47M,151.15M,21.31M,0.65,174.30%,222.99M,9.15,398.26M,124.88,1.63,10.85,153.35M,58.54M,2.23M,4.97,15.69%,9.15%,2.21M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA,,,,,,,,,,N/A,N/A,N/A,40.91,20.50,26.93,29.81,147.6k,204.28k,N/A,N/A,13.93M,10.95%,82.54%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Sep 29, 2021",-26.89%,-17.68%,N/A,-51.47%,228.68M,6.27,29.20%,140.26M,-26.27M,-73.26M,N/A,N/A,54.94M,0.9,N/A,N/A,0.67,N/A,5.73M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.57k,3.14,2.50%,0.57%,461.02k,,,,,,,,,,,,,,,,,,,,
MTLS,,,,,,,,,,0.61,N/A,N/A,87.40,18.50,23.40,25.58,254.9k,319k,58.17M,N/A,25.72M,2.30%,32.42%,582.55k,2.34,N/A,0.99%,503.22k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",3.25%,4.73%,1.56%,3.51%,193.76M,3.50,28.00%,94M,23.74M,6.3M,-0.18,N/A,194.95M,3.32,102.18M,44.72,2.77,2.40,32.72M,16.72M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCWX,,,,,,,,,,1.02,N/A,N/A,26.89,12.78,18.44,17.90,184.97k,183.46k,13.94M,N/A,11.78M,18.09%,73.86%,434.93k,3.49,4.83%,0.52%,507.1k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 28, 2021","Oct 28, 2021",-7.41%,-9.38%,-3.17%,-6.15%,547.07M,6.63,-5.60%,318.87M,-10.79M,-40.55M,-0.25,N/A,205.13M,2.44,24.91M,3.82,1.20,7.91,30.38M,37.03M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEXT,,,,,,,,,,1.40,N/A,N/A,20.23,8.89,11.36,12.98,1.01M,1.46M,126.24M,N/A,108.82M,9.93%,71.55%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2021","Apr 29, 2021",-23.00%,-22.80%,-9.07%,-40.04%,361.3M,2.96,7.80%,268.26M,-72.69M,-83.1M,-0.68,N/A,272.1M,2.15,134.87M,60.98,1.49,1.75,36.92M,7.35M,,,,,,,,,,,,,,,,,,,,,,,,,,6.27M,8.85,6.54%,4.96%,6.94M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLD,,,,,,,,,,N/A,N/A,N/A,13.18,7.08,9.93,9.97,1.29M,1.52M,N/A,N/A,8.99M,0.00%,81.47%,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-140.53%,-199.04%,N/A,N/A,17.33M,0.88,100.70%,6.37M,-33.1M,-37.41M,N/A,N/A,11.95M,0.6,25.46M,N/A,0.98,N/A,-23.06M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,,,,,,,,,,1.88,N/A,N/A,90.35,47.61,61.27,66.31,293.95k,370.52k,25.88M,N/A,21.31M,8.85%,84.17%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Jan 08, 2006","Dec 30, 2020","Mar 30, 2021",-15.89%,-12.85%,-6.04%,-26.70%,213.52M,10.67,-0.50%,39.33M,-19.33M,-33.92M,-1.70,N/A,173.12M,6.67,110.07M,61.89,5.43,8.11,-8.55M,-2.61M,,,,,,,,,,,3.28M,10.79,13.37%,12.62%,3.28M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLUS,,,,,,,,,,1.34,N/A,N/A,69.74,40.84,55.88,50.73,101.64k,185.8k,13.5M,N/A,13.24M,2.25%,96.19%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,"Dec 25, 2012","Dec 12, 2012",2:1,"Apr 02, 2017","Mar 30, 2020","Dec 30, 2020",4.56%,6.42%,6.11%,14.17%,1.58B,118.63,-0.30%,373.71M,119.36M,72.09M,5.38,10.70%,86.46M,6.4,255.65M,46.91,1.56,40.36,5.8M,33.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.73k,3.34,1.85%,1.51%,258.87k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VECO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.42,N/A,N/A,27.99,16.41,25.45,23.18,307.61k,339.66k,50.18M,N/A,49.24M,1.87%,104.56%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",-1.10%,5.83%,1.98%,-1.35%,483.38M,9.95,28.00%,194.3M,57.99M,-5.33M,-0.11,N/A,326.88M,6.51,360.42M,87.38,3.78,8.22,55.9M,38.42M,,,,,,,,,,,,,,,,3.44M,11.53,9.40%,6.85%,3.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOSL,,,,,,,,,,2.65,N/A,N/A,56.50,22.00,41.98,32.86,416.8k,622.67k,26.09M,N/A,21.24M,20.72%,59.42%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2021","Jun 29, 2021",8.85%,9.75%,4.68%,11.87%,656.9M,25.48,44.90%,204.54M,116.65M,58.12M,1.43,N/A,202.41M,7.68,201.56M,39.04,1.75,13.24,N/A,N/A,,,,,,,,,,,,,,,,,,,,,609.66k,2.85,2.86%,2.31%,633.38k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.59,N/A,N/A,11.88,7.01,10.40,8.96,408.26k,340.33k,110.45M,N/A,104.23M,1.47%,77.48%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Dec 21, 1999","Dec 30, 2020","Sep 29, 2021",1.67%,2.63%,2.31%,6.42%,5.51B,43.12,-5.40%,413.6M,232.9M,92.1M,0.57,15.80%,477.2M,3.83,582M,39.61,1.67,10.99,210.7M,113.22M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.28k,1.1,0.47%,0.34%,489.51k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.44,N/A,N/A,28.60,17.56,21.91,23.99,296.33k,307.3k,67.02M,N/A,65.41M,2.83%,91.61%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 17, 1990",1:10,"Oct 25, 2009","Dec 30, 2020","Sep 29, 2021",-23.44%,-17.55%,-9.70%,N/A,2.09B,31.98,-1.50%,505.2M,-335.1M,-492M,-6.67,N/A,615.4M,9.16,580.8M,N/A,1.70,-4.95,-290.9M,-152M,1.32M,4.05,3.48%,1.97%,967.89k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSKD,,,,,,,,,,N/A,N/A,N/A,40.48,7.06,14.81,21.07,1.05M,988.01k,N/A,N/A,3.22M,14.79%,57.97%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-34.29%,-0.14%,N/A,N/A,205.52M,14.33,47.30%,92.82M,1.62M,-70.47M,N/A,N/A,145.22M,9.94,N/A,N/A,3.81,N/A,9.36M,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.71k,0.66,1.26%,0.35%,388.32k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USER,,,,,,,,,,N/A,N/A,N/A,15.98,7.60,9.67,9.67,882.38k,553.36k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARO,,,,,,,,,,1.36,N/A,N/A,97.88,63.29,72.88,75.25,63.77k,101.63k,18.15M,N/A,17.88M,0.77%,104.26%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",4.07%,-5.63%,-2.18%,3.66%,300.58M,16.81,-4.00%,159.85M,-3.25M,12.23M,0.68,N/A,169.96M,9.36,26.56M,7.57,3.26,19.32,-5.21M,-7.44M,,,,,,,,,,,335.24k,3.13,2.53%,1.85%,325.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMOS,,,,,,,,,,0.68,N/A,N/A,44.72,23.54,33.04,34.48,32.19k,21.38k,36.36M,N/A,28.82M,0.00%,7.04%,,,,,,1.23,3.67%,2.20,6.65%,N/A,55.91%,"Sep 07, 2021","Jun 30, 2020",0:1,"Nov 01, 2018","Dec 30, 2020","Mar 30, 2021",10.94%,15.79%,6.26%,12.43%,23.89B,657.00,15.70%,5.03B,7.95B,2.61B,2.54,34.60%,5.86B,161.15,9.83B,45.19,2.37,598.44,7.23B,3.03B,,,,,,,,,,,21.28k,0.8,N/A,0.06%,61.63k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNET,,,,,,,,,,0.22,N/A,N/A,44.45,7.28,14.14,20.88,1.45M,2.91M,143.68M,N/A,76.49M,17.67%,83.26%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Sep 29, 2021",-8.42%,5.19%,0.88%,-6.00%,5.79B,40.89,25.30%,1.08B,1.48B,-510.81M,-3.82,60.80%,3.49B,24.26,12.19B,163.98,1.10,56.26,1.01B,-1.72B,5.16M,6.71,N/A,3.54%,4.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBAI,,,,,,,,,,N/A,N/A,N/A,9.84,6.75,8.12,8.12,485.86k,485.86k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTRS,,,,,,,,,,N/A,N/A,N/A,19.76,6.61,8.63,12.08,1.2M,1.44M,149.18M,N/A,74.48M,17.78%,76.19%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",-32.95%,-19.17%,-5.25%,-24.41%,123.11M,4.09,23.20%,76.04M,-18.38M,-49.23M,N/A,N/A,286.64M,1.81,152k,0.05,5.31,N/A,-3.6M,11.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25M,13.9,11.70%,5.84%,8.27M,,,,,,,,,,,,,,,,,,,,,,,,,
GB,,,,,,,,,,N/A,N/A,N/A,14.35,5.74,8.15,9.14,16.55k,10.79k,187.54M,N/A,37.8M,8.65%,81.99%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Mar 30, 2021","Jun 29, 2021",0.00%,-280.86%,-9.62%,N/A,53.79M,0.28,119.10%,44.7M,-71.75M,-412.88M,N/A,N/A,135.24M,0.69,721.61M,N/A,0.90,N/A,-157.42M,-18M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.33k,9.83,0.47%,0.10%,271.94k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGNT,,,,,,,,,,N/A,N/A,N/A,33.37,17.11,20.99,24.37,595.87k,621.35k,65.99M,N/A,63.38M,1.13%,86.45%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:5,"Mar 31, 2015","Jan 30, 2021","Jul 30, 2021",1.60%,2.69%,1.18%,3.33%,467.72M,7.09,10.40%,312.03M,33.49M,7.5M,N/A,N/A,68.27M,1.02,20.72M,6.97,1.41,N/A,56.35M,58.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.58k,0.53,0.85%,0.84%,165k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENFN,,,,,,,,,,N/A,N/A,N/A,23.21,17.34,20.34,20.34,891.79k,740.3k,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2020","Jun 29, 2021",1.88%,6.40%,N/A,N/A,93.25M,"1,658.71",36.90%,58.21M,7.91M,1.75M,N/A,-21.60%,14.52M,302.6,98.71M,N/A,2.65,N/A,3.2M,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.90,N/A,N/A,19.05,8.42,15.16,12.21,1M,1.2M,77.34M,N/A,59.12M,4.76%,86.84%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,"Dec 14, 2021",N/A,N/A,N/A,"Dec 30, 2020","Mar 30, 2021",9.17%,9.69%,4.89%,17.46%,226.61M,2.93,2.00%,175.38M,32.37M,20.77M,0.25,N/A,160.96M,2.08,27.38M,21.96,2.47,1.62,45.38M,34.12M,,,,,,,,,,,2.7M,4.54,4.51%,3.49%,2.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLY,,,,,,,,,,1.86,N/A,N/A,50.89,22.69,27.70,32.99,450.41k,458.29k,42.3M,N/A,39.03M,1.82%,97.49%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,"Mar 09, 2020","Feb 18, 2020",N/A,N/A,"Apr 02, 2021","Oct 01, 2021",5.03%,5.42%,2.79%,N/A,1.81B,43.29,2.00%,776.55M,248.43M,91.06M,-1.40,N/A,208.01M,5.24,1.55B,"69,456.25",1.50,-2.09,104.73M,131.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88M,8.89,23.22%,11.41%,4.76M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICHR,,,,,,,,,,2.18,N/A,N/A,63.42,29.55,44.56,48.33,229.57k,215.12k,28.08M,N/A,28.22M,0.88%,88.39%,,,,,,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 24, 2020","Sep 23, 2021",6.50%,7.76%,7.13%,18.65%,1.05B,38.84,15.50%,127.09M,106.2M,68.56M,1.79,75.70%,226.74M,7.98,173.35M,36.07,3.04,15.36,64.55M,22.51M,578.05k,2.19,2.36%,2.03%,631.28k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
